Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
davisri01,48:37,10,26,.385,0,2,.000,1,2,.500,3,7,10,5,3,0,3,1,21,-7
piercpa01,44:41,11,20,.550,1,3,.333,9,10,.900,0,5,5,3,1,0,3,4,32,0
blounma01,28:03,3,9,.333,0,0,,1,2,.500,1,3,4,3,0,2,8,6,7,-1
lafrera01,24:12,2,5,.400,1,3,.333,2,2,1.000,1,1,2,0,0,1,3,6,7,-9
westde01,22:11,3,6,.500,1,3,.333,2,2,1.000,0,1,1,3,0,1,2,4,9,-9
perkike01,24:59,0,1,.000,0,0,,0,2,.000,3,7,10,0,1,2,0,4,0,+12
dickada01,21:46,1,3,.333,1,2,.500,2,2,1.000,2,1,3,7,2,0,2,3,5,+14
jeffeal01,19:24,5,9,.556,0,0,,2,4,.500,3,1,4,0,2,1,0,5,12,-1
reedju01,12:49,2,3,.667,0,0,,3,4,.750,1,0,1,0,0,0,2,3,7,+7
scalabr01,9:16,2,3,.667,1,2,.500,0,0,,0,1,1,0,1,0,0,1,5,-5
greenor01,6:57,0,0,,0,0,,0,0,,1,0,1,1,1,1,1,1,0,-9
gomesry01,2:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,265,39,86,.453,5,15,.333,22,30,.733,15,27,42,22,11,8,24,39,105,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
knighbr01,41:28,7,13,.538,0,0,,7,9,.778,0,3,3,7,3,0,4,3,21,+12
wallage01,41:00,9,16,.563,0,2,.000,7,8,.875,3,4,7,3,5,0,2,2,25,+11
okafoem01,38:51,4,12,.333,0,0,,4,4,1.000,5,7,12,2,0,1,3,3,12,+14
brezepr01,23:11,3,3,1.000,0,0,,3,5,.600,0,0,0,1,1,0,4,2,9,-3
carroma01,11:02,1,3,.333,0,0,,2,2,1.000,0,0,0,1,0,0,1,2,4,-6
elyme01,30:10,2,8,.250,0,1,.000,8,12,.667,0,4,4,1,3,1,3,4,12,+1
boganke01,28:15,1,6,.167,0,2,.000,1,1,1.000,1,4,5,3,2,0,0,5,3,+8
jonesju01,25:42,3,7,.429,2,3,.667,3,4,.750,1,2,3,0,1,0,1,3,11,-9
mayse01,13:49,3,7,.429,0,0,,0,0,,2,3,5,1,0,1,3,0,6,-8
feltora01,11:32,1,4,.250,1,1,1.000,1,2,.500,0,0,0,1,0,0,1,1,4,-10
Team Totals,265,34,79,.430,3,9,.333,36,47,.766,12,27,39,20,15,3,22,25,107,
