Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
okurme01,46:36,11,17,.647,2,3,.667,7,7,1.000,2,5,7,2,0,1,4,5,31,+9
kirilan01,45:46,8,16,.500,1,2,.500,3,8,.375,4,4,8,5,1,7,4,2,20,+3
ostergr01,32:06,2,4,.500,0,0,,2,2,1.000,3,10,13,1,0,2,1,5,6,+13
giricgo01,29:13,3,8,.375,0,1,.000,2,2,1.000,0,1,1,2,0,0,2,2,8,+11
mcleoke01,23:49,2,8,.250,1,1,1.000,1,2,.500,1,3,4,2,1,0,2,3,6,+13
willide01,29:11,3,9,.333,0,4,.000,2,6,.333,0,0,0,4,1,1,3,1,8,-9
harprma01,18:00,3,5,.600,0,1,.000,3,4,.750,1,4,5,1,0,0,3,3,9,-3
collija03,17:30,1,3,.333,0,0,,2,3,.667,5,2,7,0,0,0,1,5,4,-9
palacmi01,10:50,0,1,.000,0,0,,1,4,.250,0,1,1,2,0,0,2,4,1,-3
brownde02,6:48,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,2,0,-1
owensan01,2:55,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1
humphkr01,2:16,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-3
Team Totals,265,34,76,.447,4,12,.333,23,40,.575,17,34,51,20,3,11,22,32,95,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
knighbr01,37:11,4,14,.286,0,0,,3,4,.750,1,4,5,1,3,0,2,3,11,-11
okafoem01,35:02,4,14,.286,0,0,,4,6,.667,3,8,11,2,2,0,2,4,12,-14
brezepr01,29:19,5,7,.714,0,0,,3,4,.750,4,2,6,1,0,0,0,3,13,+3
wallage01,17:18,2,6,.333,0,0,,2,4,.500,3,4,7,0,0,2,1,1,6,-4
rushka01,11:48,0,1,.000,0,0,,0,0,,0,0,0,2,0,1,0,2,0,-8
boganke01,28:49,4,8,.500,0,2,.000,3,3,1.000,1,1,2,1,0,0,1,5,11,+6
feltora01,27:40,2,7,.286,1,2,.500,2,3,.667,0,3,3,10,4,0,1,5,7,+13
mayse01,24:24,5,14,.357,0,0,,3,4,.750,5,3,8,0,2,1,2,4,13,+9
jonesju01,23:31,2,6,.333,1,5,.200,2,2,1.000,0,1,1,0,0,0,0,4,7,-6
elyme01,16:41,1,4,.250,0,0,,3,4,.750,1,0,1,0,1,0,2,5,5,-6
carroma01,13:17,2,8,.250,0,3,.000,2,2,1.000,0,0,0,0,0,0,1,1,6,-2
Team Totals,265,31,89,.348,2,12,.167,27,36,.750,18,26,44,17,12,4,12,37,91,
