Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
allenra02,40:08,6,22,.273,2,11,.182,5,6,.833,1,4,5,6,0,1,1,1,19,+22
lewisra02,37:50,10,16,.625,3,5,.600,3,5,.600,0,4,4,2,7,3,3,2,26,+13
evansre01,37:26,1,4,.250,0,0,,3,5,.600,7,11,18,3,2,0,0,3,5,+12
ridnolu01,32:20,7,10,.700,2,3,.667,0,0,,4,3,7,7,1,0,4,4,16,+10
collini01,21:54,3,6,.500,0,0,,3,3,1.000,4,3,7,3,0,1,2,4,9,+10
radmavl01,24:18,7,10,.700,3,5,.600,0,0,,0,2,2,0,3,0,0,6,17,+10
murraro01,21:57,5,12,.417,0,0,,2,2,1.000,0,0,0,2,0,0,1,1,12,+4
wilkida02,10:55,0,0,,0,0,,0,0,,0,1,1,3,0,0,1,0,0,+5
fortsda01,7:06,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,2,4,2,-2
petrojo01,4:31,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0,0
cleavma01,1:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
Team Totals,240,40,84,.476,10,24,.417,16,21,.762,17,29,46,26,13,5,15,27,106,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willide01,37:53,5,16,.313,2,5,.400,0,0,,0,4,4,7,1,1,6,3,12,-13
harprma01,29:33,6,12,.500,0,1,.000,4,5,.800,0,3,3,1,0,0,1,1,16,-23
okurme01,26:30,5,9,.556,0,1,.000,0,0,,4,1,5,2,2,1,3,2,10,-19
brownde02,19:15,5,9,.556,0,1,.000,4,4,1.000,1,1,2,0,1,0,2,3,14,-8
ostergr01,9:07,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0,-4
kirilan01,37:02,4,8,.500,1,3,.333,8,15,.533,4,7,11,2,3,3,2,0,17,-11
collija03,32:24,5,7,.714,0,0,,3,4,.750,2,1,3,1,1,1,1,3,13,-11
palacmi01,15:26,1,5,.200,0,1,.000,0,0,,0,1,1,5,0,1,0,4,2,-6
humphkr01,14:14,1,3,.333,0,0,,1,2,.500,1,1,2,1,0,0,0,1,3,+4
milescj01,8:46,0,2,.000,0,2,.000,3,4,.750,1,3,4,0,0,0,1,1,3,+5
owensan01,5:41,0,1,.000,0,1,.000,0,1,.000,1,0,1,0,0,0,0,0,0,+5
whalero01,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Team Totals,240,32,73,.438,3,15,.200,23,35,.657,14,24,38,20,8,7,17,20,90,
