Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wrighlo02,36:58,4,10,.400,0,0,,3,4,.750,3,3,6,2,0,1,0,2,11,+13
jacksbo01,36:23,2,12,.167,2,8,.250,2,2,1.000,2,4,6,9,1,0,2,1,8,+5
battish01,28:27,1,3,.333,0,1,.000,3,4,.750,0,6,6,1,1,0,1,2,5,+7
gasolpa01,26:59,5,10,.500,0,0,,3,4,.750,1,3,4,4,0,0,3,5,13,+3
jonesed02,26:21,4,10,.400,2,4,.500,3,3,1.000,2,4,6,1,1,0,0,2,13,+7
millemi01,36:00,12,19,.632,4,7,.571,2,2,1.000,1,5,6,2,0,0,1,2,30,+8
warriha01,15:36,3,6,.500,0,0,,3,4,.750,1,3,4,2,0,0,1,3,9,+13
cardibr01,13:20,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-8
burksan01,11:37,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,2,2,+6
jonesda02,6:39,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,1,1,2,+1
roberla01,1:40,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,33,76,.434,8,21,.381,19,23,.826,10,31,41,23,4,1,10,22,93,
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
arenagi01,46:57,8,21,.381,2,7,.286,6,8,.750,1,7,8,8,3,0,1,3,24,-6
jamisan01,44:18,11,20,.550,3,4,.750,0,0,,1,9,10,2,0,0,2,3,25,-17
butleca01,37:42,5,12,.417,0,0,,6,6,1.000,1,3,4,1,2,0,2,2,16,-1
jeffrja01,28:36,1,4,.250,0,1,.000,1,2,.500,2,3,5,5,0,1,2,4,3,-5
haywobr01,26:54,1,5,.200,0,0,,2,6,.333,5,5,10,0,0,3,2,3,4,0
daniean01,34:06,2,8,.250,1,2,.500,3,4,.750,0,1,1,1,0,1,1,0,8,-9
ruffimi01,13:18,1,1,1.000,0,0,,0,0,,2,0,2,0,1,0,1,2,2,-3
boothca01,5:14,0,2,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-5
taylodo01,2:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-9
Team Totals,240,29,74,.392,6,14,.429,18,26,.692,12,28,40,18,7,5,12,18,82,
