Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,44:50,16,29,.552,1,3,.333,7,9,.778,1,6,7,10,1,0,3,1,40,+1
webbech01,36:55,8,21,.381,0,1,.000,5,6,.833,2,11,13,2,1,0,3,2,21,+5
huntest01,24:34,3,5,.600,0,0,,0,0,,1,3,4,0,1,0,0,3,6,-8
ollieke01,22:01,0,2,.000,0,0,,0,0,,0,4,4,2,0,0,1,0,0,+3
iguodan01,20:19,2,3,.667,1,1,1.000,1,2,.500,0,1,1,0,2,0,1,4,6,0
korveky01,30:54,4,7,.571,3,4,.750,3,4,.750,0,2,2,2,1,0,0,2,14,+6
salmojo01,29:32,4,6,.667,0,0,,2,4,.500,1,3,4,2,2,0,1,1,10,+3
dalemsa01,19:56,3,5,.600,0,0,,1,1,1.000,0,2,2,0,0,1,0,3,7,+5
barnema02,10:32,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,2,+10
bradlmi01,0:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,79,.519,5,9,.556,19,26,.731,6,33,39,20,8,1,9,17,106,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mcgratr01,40:11,9,20,.450,3,6,.500,4,5,.800,0,7,7,4,1,0,3,0,25,-7
alstora01,40:00,5,15,.333,2,8,.250,3,4,.750,0,6,6,8,1,0,0,5,15,-5
mingya01,38:40,9,17,.529,0,0,,4,4,1.000,3,10,13,3,0,2,4,0,22,+7
howarju01,33:38,4,10,.400,0,0,,4,4,1.000,3,5,8,2,2,0,1,2,12,-7
wesleda01,33:37,3,11,.273,1,8,.125,1,1,1.000,0,3,3,1,0,0,1,5,8,+7
boganke01,22:12,2,6,.333,0,2,.000,2,2,1.000,2,0,2,3,0,0,1,2,6,-10
hayesch01,14:24,5,5,1.000,0,0,,1,1,1.000,3,1,4,0,1,0,1,0,11,0
mutomdi01,8:57,0,0,,0,0,,2,2,1.000,1,3,4,0,0,1,0,5,2,-10
headlu01,8:22,0,2,.000,0,1,.000,0,0,,1,0,1,2,0,0,2,1,0,0
Team Totals,240,37,86,.430,6,25,.240,21,23,.913,13,35,48,23,5,3,13,20,101,
