Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
feltora01,36:50,4,10,.400,2,4,.500,1,2,.500,1,2,3,6,1,0,2,4,11,-18
knighbr01,30:26,2,8,.250,0,0,,3,3,1.000,1,3,4,5,2,0,3,1,7,-12
jonesju01,27:33,4,9,.444,3,6,.500,0,0,,1,3,4,0,0,0,1,2,11,-13
wallage01,26:22,4,6,.667,0,0,,6,10,.600,1,7,8,0,0,2,0,3,14,-18
brezepr01,19:00,1,8,.125,0,0,,0,0,,1,2,3,1,0,0,1,2,2,-13
rushka01,21:03,4,8,.500,1,3,.333,0,0,,0,1,1,0,0,0,2,0,9,-1
robinbe01,19:33,1,4,.250,0,0,,6,8,.750,0,3,3,3,3,0,2,3,8,+4
carroma01,17:20,1,8,.125,0,3,.000,0,0,,2,1,3,0,0,1,0,2,2,+1
elyme01,15:40,2,4,.500,0,0,,0,2,.000,2,0,2,1,3,1,2,2,4,-3
baxtelo01,12:00,3,6,.500,0,0,,2,2,1.000,1,3,4,0,1,0,0,1,8,+4
voskuja01,7:26,0,3,.000,0,0,,0,0,,0,1,1,0,1,1,0,0,0,-2
anderal01,6:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Team Totals,240,26,74,.351,6,16,.375,18,27,.667,10,27,37,16,11,5,13,20,76,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
nowitdi01,38:05,9,17,.529,1,1,1.000,7,8,.875,0,9,9,3,1,0,2,4,26,+14
griffad01,34:24,3,6,.500,0,0,,3,3,1.000,3,5,8,2,1,0,3,2,9,+13
terryja01,33:45,7,11,.636,3,5,.600,0,0,,0,0,0,0,0,0,2,4,17,+16
diopde01,23:12,4,9,.444,0,0,,0,2,.000,2,5,7,0,1,3,1,1,8,+10
howarjo01,11:10,2,8,.250,0,1,.000,0,0,,1,5,6,0,0,0,1,1,4,+4
daniema01,30:11,3,10,.300,0,0,,2,4,.500,1,3,4,8,0,0,1,2,8,+15
stackje01,26:29,4,11,.364,0,3,.000,1,2,.500,1,3,4,3,1,0,3,0,9,-1
dampier01,21:00,4,5,.800,0,0,,1,2,.500,8,6,14,0,0,2,2,3,9,+5
armstda01,14:15,0,0,,0,0,,0,0,,0,4,4,0,0,0,4,2,0,-2
mbengdj01,3:48,0,0,,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-1
vanhoke01,3:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,36,78,.462,4,10,.400,14,21,.667,16,41,57,16,4,6,20,20,90,
