Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bellra01,41:28,5,9,.556,1,4,.250,2,2,1.000,0,4,4,1,1,1,4,6,13,-5
mariosh01,40:57,5,12,.417,0,1,.000,1,2,.500,5,6,11,1,1,4,2,2,11,-7
stoudam01,40:51,14,28,.500,1,1,1.000,9,10,.900,5,7,12,0,0,4,0,2,38,-6
nashst01,37:32,7,10,.700,3,4,.750,1,2,.500,1,5,6,14,1,0,5,3,18,+1
thomaku01,16:45,2,6,.333,0,0,,1,2,.500,2,1,3,3,0,0,2,4,5,-2
barbole01,27:55,5,15,.333,0,5,.000,3,4,.750,0,5,5,3,1,0,2,3,13,-12
jonesja02,20:52,3,4,.750,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,7,-9
diawbo01,13:41,0,1,.000,0,0,,1,2,.500,0,1,1,0,1,0,2,1,1,0
Team Totals,240,41,85,.482,6,16,.375,18,24,.750,13,30,43,22,5,9,17,23,106,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bowenbr01,43:03,3,10,.300,2,7,.286,0,0,,0,6,6,3,2,0,2,2,8,+2
parketo01,41:07,11,27,.407,0,3,.000,8,11,.727,0,2,2,6,0,0,1,0,30,+6
duncati01,39:59,11,19,.579,0,0,,2,6,.333,8,5,13,1,0,9,4,3,24,+7
finlemi01,32:14,3,6,.500,1,4,.250,4,4,1.000,0,3,3,1,1,0,0,2,11,+3
obertfa01,10:38,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,4,2,+3
ginobma01,35:53,11,17,.647,4,7,.571,7,9,.778,4,7,11,6,4,0,3,4,33,+12
elsonfr01,20:37,1,3,.333,0,0,,0,0,,3,2,5,1,1,0,2,4,2,+4
barrybr01,11:02,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,1,0,+4
vaughja01,4:08,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,1,4,0
bonnema01,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,43,88,.489,7,22,.318,21,30,.700,16,27,43,22,9,9,12,21,114,
