Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jackja01,40:51,9,15,.600,0,2,.000,4,4,1.000,1,8,9,8,1,0,4,4,22,+16
udokaim01,38:02,5,9,.556,2,4,.500,1,2,.500,2,2,4,0,0,0,0,3,13,+9
webstma02,29:29,6,12,.500,3,4,.750,7,7,1.000,2,6,8,1,0,1,1,1,22,+9
przybjo01,24:49,0,0,,0,0,,1,2,.500,1,8,9,0,0,2,0,3,1,+9
aldrila01,19:18,1,6,.167,0,0,,1,2,.500,0,3,3,0,0,0,2,5,3,+1
outlatr01,30:42,3,12,.250,0,2,.000,4,4,1.000,2,5,7,1,0,2,1,4,10,+8
dixonju01,26:14,6,15,.400,2,3,.667,2,2,1.000,0,3,3,0,0,0,4,2,16,-1
magloja01,19:56,1,2,.500,0,0,,4,8,.500,4,6,10,1,1,0,4,2,6,+2
rodrise01,4:10,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-5
grahast01,3:30,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,1,0,0,+3
dickada01,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1
Team Totals,240,31,73,.425,7,15,.467,24,31,.774,13,43,56,13,2,6,17,26,93,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
garbajo01,41:22,4,12,.333,0,3,.000,2,2,1.000,2,5,7,1,2,1,0,4,10,-9
fordtj01,35:05,7,19,.368,1,3,.333,4,4,1.000,1,5,6,6,0,0,1,3,19,-8
bargnan01,27:05,3,9,.333,0,3,.000,2,4,.500,2,2,4,1,0,0,2,5,8,-9
parkean01,26:48,1,5,.200,1,1,1.000,0,0,,1,4,5,2,3,1,0,1,3,-10
nestera01,11:54,0,5,.000,0,0,,0,0,,1,0,1,1,0,0,0,2,0,-6
petermo01,30:32,8,15,.533,3,7,.429,4,4,1.000,1,4,5,0,2,0,0,3,23,-5
jonesfr01,28:26,4,9,.444,1,4,.250,5,7,.714,0,1,1,4,0,0,1,2,14,+1
caldejo01,12:55,0,3,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,2,2,-2
grahajo01,11:20,0,2,.000,0,0,,0,2,.000,0,2,2,0,0,0,0,1,0,+3
humphkr01,8:29,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-3
tuckepj01,4:09,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,0
slokaur01,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Team Totals,240,29,83,.349,6,23,.261,19,25,.760,10,24,34,16,7,2,5,25,83,
