Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
greenge01,36:10,7,17,.412,2,5,.400,2,3,.667,3,5,8,2,2,4,0,5,18,-15
jeffeal01,32:11,8,15,.533,0,0,,0,0,,8,7,15,2,0,2,1,5,16,-16
allento01,30:49,8,17,.471,0,1,.000,2,4,.500,1,5,6,4,2,3,2,4,18,-13
gomesry01,25:03,0,6,.000,0,0,,3,4,.750,1,6,7,3,1,0,0,2,3,-8
westde01,18:16,3,7,.429,0,1,.000,5,6,.833,0,1,1,0,0,0,3,1,11,-15
telfase01,25:25,2,4,.500,0,0,,3,3,1.000,1,1,2,3,0,0,2,5,7,+3
scalabr01,24:53,4,6,.667,1,3,.333,0,0,,1,3,4,1,1,2,2,3,9,-1
rayal01,18:03,5,10,.500,1,3,.333,1,3,.333,0,1,1,0,1,0,2,1,12,+7
rondora01,16:29,3,7,.429,0,0,,0,2,.000,0,1,1,6,2,0,4,5,6,-2
powele01,12:41,2,4,.500,0,0,,1,2,.500,3,0,3,0,1,1,0,1,5,+5
Team Totals,240,42,93,.452,4,13,.308,17,27,.630,18,30,48,21,10,12,16,32,105,
Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iversal01,43:47,9,22,.409,1,2,.500,9,13,.692,0,2,2,13,4,0,6,2,28,+11
najered01,34:29,6,12,.500,0,0,,4,5,.800,6,5,11,1,0,0,0,3,16,+16
hilarne01,28:40,5,11,.455,0,0,,2,4,.500,4,10,14,2,0,4,1,2,12,+11
diawaya01,27:50,1,2,.500,1,1,1.000,0,0,,3,2,5,1,1,0,1,3,3,+14
johnsde03,21:54,3,10,.300,0,4,.000,0,0,,0,2,2,1,2,0,0,0,6,+8
boykiea01,31:43,8,19,.421,4,5,.800,8,8,1.000,1,1,2,4,1,0,2,1,28,+6
evansre01,30:31,5,10,.500,0,0,,4,8,.500,6,8,14,2,2,1,3,5,14,-4
kleizli01,20:02,3,4,.750,1,1,1.000,2,5,.400,0,2,2,1,0,0,1,1,9,-6
sampsja01,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Team Totals,240,40,90,.444,7,13,.538,29,43,.674,20,33,53,25,10,5,14,17,116,
