Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
reddmi01,39:28,14,22,.636,0,3,.000,8,8,1.000,1,6,7,2,2,0,0,0,36,+14
bellch01,39:14,5,10,.500,0,3,.000,0,0,,1,3,4,4,0,0,0,3,10,0
bogutan01,38:54,7,11,.636,0,0,,0,0,,3,8,11,3,0,1,5,4,14,+12
willima01,37:50,10,18,.556,1,4,.250,2,2,1.000,0,5,5,4,3,1,3,4,23,+7
skinnbr01,23:32,5,10,.500,0,0,,0,1,.000,0,2,2,1,0,1,0,4,10,-9
patteru01,27:20,6,7,.857,0,0,,1,1,1.000,3,2,5,3,0,0,1,3,13,+14
villach01,20:47,3,6,.500,0,1,.000,2,2,1.000,0,4,4,1,1,2,1,4,8,+1
blakest01,6:54,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-3
gadzuda01,6:01,0,2,.000,0,0,,0,0,,1,1,2,0,1,0,0,0,0,-1
Team Totals,240,50,88,.568,1,11,.091,13,14,.929,9,31,40,19,7,5,11,22,114,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bowenbr01,40:07,3,8,.375,3,7,.429,0,0,,0,1,1,2,1,1,1,3,9,-13
parketo01,39:53,9,20,.450,1,3,.333,5,5,1.000,2,5,7,10,0,0,1,2,24,-1
duncati01,39:43,7,15,.467,0,0,,11,14,.786,4,8,12,0,0,2,3,2,25,-10
finlemi01,34:35,6,15,.400,2,8,.250,1,2,.500,1,2,3,4,0,0,1,0,15,+1
elsonfr01,16:27,2,3,.667,0,0,,4,4,1.000,2,4,6,0,0,1,1,4,8,+7
obertfa01,18:13,4,4,1.000,0,0,,0,0,,3,1,4,1,0,0,0,2,8,-5
willier01,17:37,5,10,.500,4,9,.444,0,1,.000,0,3,3,2,1,0,2,0,14,-3
horryro01,15:31,2,4,.500,0,2,.000,0,0,,2,1,3,1,0,1,2,3,4,-2
udrihbe01,12:54,0,3,.000,0,0,,0,0,,0,1,1,2,1,0,0,1,0,-7
vaughja01,5:01,0,2,.000,0,0,,0,2,.000,0,0,0,2,0,0,0,0,0,-2
Team Totals,240,38,84,.452,10,29,.345,21,28,.750,14,26,40,24,3,5,11,17,107,
