Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
boykiea01,45:00,9,16,.563,3,4,.750,9,10,.900,2,4,6,4,2,0,3,2,30,+11
patteru01,39:04,5,13,.385,0,0,,0,1,.000,4,2,6,3,0,0,1,2,10,+11
bogutan01,38:22,12,15,.800,0,0,,3,4,.750,3,8,11,6,0,3,1,2,27,+13
bellch01,37:58,3,13,.231,2,8,.250,2,2,1.000,1,3,4,5,2,0,3,3,10,+13
skinnbr01,31:58,3,7,.429,0,0,,0,0,,3,4,7,2,0,1,2,5,6,+17
gadzuda01,14:31,2,3,.667,0,0,,0,4,.000,0,1,1,0,0,0,1,4,4,-5
ilyaser01,14:06,3,8,.375,1,3,.333,0,0,,1,3,4,0,1,0,0,3,7,-9
noelda01,11:40,1,5,.200,0,2,.000,3,4,.750,2,2,4,0,0,0,0,0,5,-10
hodgeju01,7:21,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-1
Team Totals,240,38,81,.469,6,17,.353,17,25,.680,17,27,44,21,5,4,11,21,99,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
feltora01,40:17,4,13,.308,0,2,.000,6,6,1.000,1,4,5,9,2,1,6,5,14,-14
carroma01,37:55,7,12,.583,5,9,.556,3,5,.600,1,1,2,1,1,0,1,1,22,-17
okafoem01,33:46,7,11,.636,0,0,,3,4,.750,7,5,12,1,1,4,2,1,17,-17
anderde01,25:29,1,6,.167,0,5,.000,4,4,1.000,4,1,5,2,1,0,1,3,6,-13
brezepr01,20:31,2,7,.286,0,0,,0,0,,3,2,5,1,1,0,2,2,4,-9
morriad01,33:58,5,17,.294,0,5,.000,1,2,.500,2,5,7,3,1,0,0,1,11,+10
mayse01,16:28,2,8,.250,0,0,,1,2,.500,1,2,3,2,0,1,1,0,5,-3
mcinnje01,14:04,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,3,2,+12
voskuja01,13:44,2,3,.667,0,0,,4,5,.800,2,3,5,0,0,0,0,4,8,+8
harriot01,3:50,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+3
Team Totals,240,32,81,.395,5,21,.238,22,28,.786,21,25,46,20,7,6,13,21,91,
