Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
harrial01,43:26,13,19,.684,2,3,.667,2,3,.667,1,0,1,3,3,1,3,5,30,-10
pietrmi01,37:27,6,10,.600,1,3,.333,1,1,1.000,3,11,14,2,3,1,3,5,14,-13
davisba01,36:10,7,18,.389,0,3,.000,1,2,.500,0,3,3,7,5,1,5,3,15,+10
jacksst02,35:19,4,13,.308,1,3,.333,4,4,1.000,1,2,3,3,1,0,2,4,13,-12
biedran01,29:10,4,7,.571,0,0,,0,3,.000,0,5,5,0,5,1,2,6,8,+9
ellismo01,28:15,5,12,.417,1,4,.250,5,5,1.000,2,2,4,4,0,0,1,2,16,+14
poweljo01,12:00,1,3,.333,0,0,,1,2,.500,2,2,4,0,0,1,0,3,3,-5
jasiksa01,11:01,2,5,.400,0,2,.000,0,0,,1,1,2,0,1,0,3,1,4,-16
foylead01,4:03,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-4
azubuke01,3:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Team Totals,240,42,88,.477,5,18,.278,14,20,.700,10,26,36,19,18,6,20,29,103,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,38:52,11,22,.500,4,7,.571,16,19,.842,1,7,8,1,2,1,5,1,42,+7
parkesm01,34:38,4,6,.667,1,3,.333,2,4,.500,0,2,2,3,2,0,4,3,11,+8
bynuman01,31:56,4,4,1.000,0,0,,2,5,.400,4,11,15,4,0,4,3,3,10,0
waltolu01,31:22,2,10,.200,0,2,.000,4,4,1.000,3,4,7,5,0,1,2,1,8,+9
cookbr01,21:14,6,9,.667,1,3,.333,0,0,,0,3,3,1,0,1,1,4,13,+11
evansma01,27:07,5,14,.357,1,3,.333,3,4,.750,2,0,2,0,2,0,2,0,14,+2
turiaro01,15:27,0,0,,0,0,,0,0,,2,3,5,1,0,0,1,3,0,+9
farmajo01,13:22,1,4,.250,1,2,.500,1,2,.500,2,1,3,2,2,0,2,1,4,-3
radmavl01,13:22,0,4,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,2,0,-17
vujacsa01,12:40,1,6,.167,1,3,.333,3,3,1.000,1,4,5,1,2,0,1,1,6,-1
Team Totals,240,34,79,.430,9,24,.375,31,41,.756,15,36,51,18,10,7,23,19,108,
