Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millemi01,39:09,4,14,.286,3,5,.600,2,2,1.000,4,2,6,5,1,0,2,1,13,-11
warriha01,38:47,11,15,.733,0,0,,5,6,.833,0,7,7,1,0,2,6,2,27,-21
roberla01,31:35,1,7,.143,0,0,,3,8,.375,3,3,6,3,3,0,1,3,5,-7
jonesed02,26:38,6,12,.500,4,7,.571,1,1,1.000,1,5,6,0,1,0,0,2,17,-13
stoudda01,18:12,1,4,.250,0,1,.000,0,0,,0,0,0,4,3,0,0,0,2,+3
atkinch01,29:48,4,7,.571,2,4,.500,1,2,.500,0,1,1,4,0,0,3,1,11,-19
jonesda02,18:57,1,2,.500,0,0,,2,2,1.000,0,2,2,1,0,0,2,3,4,-3
gayru01,14:09,3,7,.429,0,0,,1,1,1.000,0,1,1,0,0,1,1,2,7,-6
cardibr01,13:07,3,5,.600,2,2,1.000,0,0,,0,1,1,2,1,0,1,1,8,-3
johnsal01,9:39,1,5,.200,0,0,,0,0,,0,1,1,2,0,0,0,2,2,0
Team Totals,240,35,78,.449,11,19,.579,15,22,.682,8,23,31,22,9,3,16,17,96,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duncati01,35:07,10,16,.625,0,0,,6,10,.600,4,9,13,2,0,9,7,3,26,+10
bowenbr01,33:32,3,7,.429,0,2,.000,0,1,.000,0,3,3,5,1,0,1,1,6,+6
parketo01,32:40,8,12,.667,0,0,,2,3,.667,0,5,5,8,2,1,1,1,18,+4
ginobma01,24:42,6,9,.667,0,1,.000,5,6,.833,1,0,1,2,3,0,4,2,17,+2
obertfa01,19:42,3,4,.750,0,0,,2,2,1.000,0,5,5,0,0,0,2,4,8,-5
barrybr01,25:33,5,8,.625,2,5,.400,1,1,1.000,0,1,1,2,1,0,0,0,13,+19
finlemi01,19:55,6,10,.600,2,5,.400,1,1,1.000,2,4,6,2,2,0,0,0,15,+22
elsonfr01,18:19,1,2,.500,0,0,,0,0,,1,5,6,0,1,1,0,3,2,0
udrihbe01,13:48,3,5,.600,0,1,.000,1,1,1.000,0,0,0,5,0,0,0,2,7,+12
horryro01,11:20,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,1,0,+9
willier01,2:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
vaughja01,2:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,45,74,.608,4,15,.267,18,25,.720,8,33,41,28,10,12,15,17,112,
