Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
denglu01,44:35,6,14,.429,0,0,,11,15,.733,2,4,6,2,3,0,2,5,23,-5
hinriki01,41:33,7,15,.467,3,5,.600,9,11,.818,0,6,6,2,2,0,2,4,26,-3
wallabe01,41:11,1,4,.250,1,1,1.000,4,6,.667,5,6,11,2,0,2,1,1,7,+12
brownpj01,30:48,2,3,.667,0,0,,6,6,1.000,2,3,5,1,1,2,6,4,10,-2
gordobe01,25:02,4,12,.333,0,4,.000,3,3,1.000,0,2,2,2,1,2,3,4,11,+2
duhonch01,27:32,5,9,.556,2,4,.500,2,4,.500,0,2,2,5,2,0,4,1,14,-5
griffad01,8:41,0,0,,0,0,,2,2,1.000,1,1,2,0,1,0,0,1,2,-8
khryavi01,7:39,0,2,.000,0,0,,0,0,,2,2,4,0,0,0,0,3,0,+1
allenma01,5:25,0,4,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-12
sefolth01,5:18,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,-1
sweetmi01,2:17,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,2,2,-4
Team Totals,240,26,65,.400,6,15,.400,37,47,.787,12,26,38,15,11,6,19,27,95,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willide01,39:50,8,14,.571,1,4,.250,1,5,.200,0,1,1,13,2,0,5,4,18,-1
fishede01,36:40,6,13,.462,0,1,.000,7,7,1.000,2,0,2,3,1,0,3,5,19,+5
okurme01,28:25,7,17,.412,3,5,.600,3,5,.600,2,3,5,3,0,0,2,5,20,-10
kirilan01,26:52,1,5,.200,0,3,.000,3,4,.750,2,6,8,2,1,3,3,3,5,-5
collija03,26:06,2,3,.667,0,0,,3,4,.750,2,4,6,1,1,0,0,4,7,-3
harprma01,32:23,6,8,.750,0,1,.000,1,2,.500,0,9,9,0,1,0,2,3,13,+16
millspa01,20:25,2,4,.500,0,0,,0,2,.000,1,5,6,2,1,1,0,3,4,-3
giricgo01,19:30,4,8,.500,2,4,.500,2,2,1.000,0,2,2,0,0,0,1,3,12,+6
araujra01,8:23,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,+16
brewero02,1:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Team Totals,240,37,74,.500,6,18,.333,20,31,.645,9,31,40,24,8,4,16,32,100,
