New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paulch01,30:29,6,10,.600,1,2,.500,3,3,1.000,2,1,3,9,3,0,3,0,16,+13
westda01,28:06,7,16,.438,0,0,,2,4,.500,1,3,4,1,0,0,1,3,16,+11
stojape01,26:45,4,8,.500,2,4,.500,0,0,,0,1,1,1,0,0,2,3,10,+9
chandty01,26:14,3,5,.600,0,0,,0,2,.000,3,9,12,1,1,0,3,2,6,+24
petermo01,21:12,3,5,.600,2,2,1.000,0,0,,1,1,2,1,0,0,0,1,8,+15
jacksbo01,24:48,4,9,.444,2,6,.333,2,2,1.000,0,6,6,2,2,0,0,1,12,+10
butlera01,22:16,3,6,.500,1,2,.500,0,0,,0,2,2,2,1,0,0,1,7,+8
armsthi01,18:45,2,6,.333,0,0,,2,2,1.000,3,3,6,2,1,0,3,5,6,-3
pargoja01,18:30,3,9,.333,2,4,.500,0,0,,1,1,2,1,0,0,3,1,8,+8
bowenry01,16:53,1,2,.500,0,0,,0,0,,0,1,1,1,2,1,1,2,2,+10
wrighju01,3:01,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,0
elyme01,3:01,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,240,37,78,.474,10,20,.500,9,13,.692,11,31,42,21,10,1,16,20,93,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iguodan01,36:41,7,14,.500,0,1,.000,3,3,1.000,0,4,4,3,1,0,5,3,17,-19
dalemsa01,34:30,5,9,.556,0,0,,5,6,.833,2,8,10,0,0,2,1,1,15,-2
millean02,34:29,4,10,.400,0,1,.000,0,2,.000,0,6,6,6,1,0,3,3,8,-3
evansre01,33:21,1,3,.333,0,0,,0,0,,4,6,10,1,2,0,3,3,2,-3
greenwi01,23:24,4,9,.444,1,3,.333,0,0,,0,0,0,2,1,0,1,2,9,-7
korveky01,26:20,5,14,.357,1,8,.125,2,2,1.000,0,1,1,4,1,0,0,4,13,-20
willilo02,19:38,2,7,.286,0,2,.000,0,0,,1,0,1,5,1,0,3,1,4,-19
smithja02,11:54,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,0,2,-11
carnero01,6:28,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
ollieke01,4:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
youngth01,4:27,1,2,.500,0,0,,0,2,.000,1,3,4,0,0,0,1,0,2,0
amundlo01,3:59,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-10
Team Totals,240,30,74,.405,2,15,.133,10,15,.667,11,30,41,21,7,2,18,20,72,
