Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
telfase01,42:00,3,8,.375,0,0,,1,1,1.000,0,4,4,8,2,0,0,0,7,-5
jeffeal01,38:13,11,19,.579,0,0,,1,1,1.000,3,12,15,1,0,2,1,4,23,-3
breweco01,36:19,2,13,.154,0,1,.000,0,0,,0,4,4,3,0,0,3,2,4,-7
jaricma01,34:58,0,3,.000,0,2,.000,1,1,1.000,0,0,0,7,0,0,2,4,1,-16
smithcr01,30:54,12,17,.706,0,1,.000,6,8,.750,5,5,10,1,1,0,2,4,30,0
mccanra01,22:54,4,10,.400,4,7,.571,0,0,,0,0,0,2,1,0,1,4,12,+10
gomesry01,20:56,6,10,.600,1,1,1.000,2,2,1.000,0,1,1,2,0,0,0,1,15,+12
richach01,13:46,0,2,.000,0,0,,0,0,,1,4,5,0,0,0,2,2,0,-6
Team Totals,240,38,82,.463,5,12,.417,11,13,.846,9,30,39,24,4,2,11,21,92,
Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
reddmi01,41:53,10,24,.417,7,13,.538,5,6,.833,2,4,6,9,0,0,2,1,32,+3
willima01,39:24,6,10,.600,2,3,.667,5,6,.833,0,2,2,6,1,0,3,1,19,+9
jianlyi01,37:59,9,14,.643,0,0,,4,4,1.000,3,4,7,1,1,2,0,1,22,+1
bogutan01,37:40,4,10,.400,0,0,,0,0,,4,9,13,5,0,0,1,5,8,+6
masonde01,28:49,3,4,.750,0,0,,4,4,1.000,0,2,2,3,3,3,0,1,10,+9
bellch01,15:59,1,8,.125,0,5,.000,0,0,,0,1,1,1,0,0,0,0,2,-2
voskuja01,14:40,0,1,.000,0,0,,2,2,1.000,1,3,4,1,1,0,0,2,2,0
simmobo01,13:16,0,3,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,-8
villach01,5:41,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
iveyro01,4:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,33,77,.429,9,22,.409,20,22,.909,11,27,38,26,6,5,6,11,95,
