Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stevede01,31:23,3,7,.429,1,3,.333,9,10,.900,0,5,5,4,1,0,0,0,16,-19
blatcan01,29:53,6,12,.500,0,1,.000,0,0,,1,6,7,2,0,3,2,4,12,-26
jamisan01,27:01,3,10,.300,1,2,.500,4,4,1.000,1,3,4,1,1,0,2,0,11,-10
haywobr01,22:25,3,9,.333,0,0,,0,2,.000,3,2,5,0,0,0,3,4,6,-17
daniean01,17:54,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-16
masonro01,27:34,4,9,.444,4,9,.444,2,2,1.000,0,1,1,1,0,0,2,1,14,-26
mcguido01,24:57,1,2,.500,0,0,,2,2,1.000,3,3,6,2,1,2,2,1,4,-19
youngni01,22:11,3,8,.375,1,1,1.000,0,0,,1,1,2,0,0,0,2,2,7,-26
pecheol01,18:35,2,7,.286,1,5,.200,2,4,.500,1,3,4,0,0,0,2,0,7,-23
songada01,18:07,0,3,.000,0,0,,4,6,.667,0,2,2,2,1,0,0,1,4,-13
Team Totals,240,26,71,.366,8,21,.381,23,30,.767,10,26,36,13,4,5,16,13,83,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bargnan01,33:04,6,11,.545,3,4,.750,4,4,1.000,0,2,2,3,0,1,0,2,19,+31
parkean01,26:47,5,8,.625,3,3,1.000,2,2,1.000,0,1,1,0,2,0,0,2,15,+15
caldejo01,25:32,4,6,.667,2,3,.667,1,1,1.000,0,1,1,11,0,0,1,2,11,+18
moonja01,23:40,4,7,.571,0,0,,0,0,,2,5,7,2,2,0,0,3,8,+14
boshch01,19:47,6,12,.500,0,0,,4,4,1.000,1,3,4,0,0,3,1,2,16,+17
dixonju01,22:28,5,7,.714,2,3,.667,0,0,,0,0,0,5,4,0,3,0,12,+21
kaponja01,21:13,4,8,.500,0,0,,0,0,,1,1,2,1,0,1,1,3,8,+24
nestera01,19:35,4,4,1.000,0,0,,1,2,.500,2,6,8,2,0,0,0,1,9,+14
delfica01,17:25,4,7,.571,3,5,.600,0,0,,0,4,4,3,1,0,1,0,11,+19
humphkr01,14:39,0,6,.000,0,0,,3,4,.750,0,4,4,1,1,0,0,2,3,+5
bastoma01,8:55,3,4,.750,0,0,,0,0,,1,3,4,0,0,0,0,4,6,+11
grahajo01,6:55,2,3,.667,0,0,,0,0,,0,1,1,2,0,0,0,1,4,+6
Team Totals,240,47,83,.566,13,18,.722,15,17,.882,7,31,38,30,10,5,7,22,122,
