Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
johnsjo02,39:23,6,14,.429,2,3,.667,0,0,,1,9,10,9,3,0,4,2,14,+21
horfoal01,38:29,2,7,.286,0,0,,0,0,,2,7,9,1,0,1,2,2,4,+6
willima02,38:04,6,11,.545,0,1,.000,4,4,1.000,1,4,5,1,1,0,4,2,16,-14
smithjo03,36:46,13,20,.650,1,2,.500,3,5,.600,5,7,12,2,2,2,3,3,30,+12
bibbymi01,33:33,6,14,.429,4,7,.571,2,2,1.000,0,1,1,9,0,0,3,5,18,+12
childjo01,22:00,1,1,1.000,0,0,,2,2,1.000,0,3,3,1,0,0,1,2,4,-17
pachuza01,14:03,1,2,.500,0,0,,2,2,1.000,1,1,2,0,1,0,2,4,4,-17
stoudsa01,10:02,1,5,.200,0,2,.000,2,2,1.000,0,0,0,0,0,0,2,2,4,-17
richaje01,5:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10
jonesso01,2:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-6
Team Totals,240,36,75,.480,7,15,.467,15,17,.882,10,33,43,23,7,3,22,22,94,
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
boozeca01,39:21,10,19,.526,0,0,,1,1,1.000,2,10,12,4,3,0,3,3,21,+6
willide01,33:01,6,16,.375,0,2,.000,0,0,,1,1,2,6,1,0,2,2,12,-10
okurme01,31:54,2,6,.333,0,2,.000,4,5,.800,1,5,6,4,0,0,2,1,8,0
kirilan01,31:02,4,8,.500,1,2,.500,2,2,1.000,3,1,4,3,1,1,0,1,11,-5
brewero02,24:00,5,11,.455,0,1,.000,2,2,1.000,2,1,3,1,2,0,0,1,12,+10
harprma01,21:35,5,9,.556,0,0,,0,0,,0,1,1,2,2,0,4,4,10,+12
millspa01,20:51,1,3,.333,0,0,,1,2,.500,2,6,8,2,1,1,1,2,3,+3
korveky01,19:23,3,6,.500,1,2,.500,6,6,1.000,0,0,0,0,0,0,0,2,13,-5
pricero01,14:59,3,5,.600,2,3,.667,2,2,1.000,0,0,0,4,1,0,0,1,10,+16
collija03,3:54,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,2,0,+3
Team Totals,240,39,83,.470,4,12,.333,18,20,.900,11,26,37,26,12,2,12,19,100,
