Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
millemi01,41:07,8,17,.471,2,4,.500,0,0,,1,7,8,4,0,0,5,4,18,+2
jeffeal01,37:24,6,12,.500,0,0,,7,8,.875,3,6,9,1,0,2,2,2,19,-3
gomesry01,33:32,4,10,.400,1,3,.333,2,2,1.000,2,2,4,2,0,0,0,4,11,+6
foyera01,28:54,2,6,.333,0,0,,0,0,,0,2,2,7,0,0,2,3,4,+6
collija04,7:15,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,2,1,0,0
smithcr01,33:39,6,13,.462,0,1,.000,11,15,.733,4,4,8,2,0,0,2,4,23,+10
breweco01,21:26,4,7,.571,2,3,.667,2,2,1.000,1,3,4,2,1,0,0,3,12,-6
telfase01,19:07,3,5,.600,3,3,1.000,0,0,,0,1,1,4,0,0,1,1,9,-4
loveke01,17:37,4,7,.571,0,0,,1,3,.333,2,3,5,0,0,1,1,3,9,-1
Team Totals,240,37,79,.468,8,14,.571,23,30,.767,13,30,43,22,1,4,15,25,105,
Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duranke01,40:53,7,18,.389,3,6,.500,5,6,.833,1,3,4,3,0,1,1,0,22,-3
greenje02,39:51,8,13,.615,4,6,.667,2,4,.500,0,4,4,4,3,0,1,2,22,0
collini01,24:17,3,7,.429,0,0,,2,4,.500,1,4,5,1,0,0,1,5,8,0
wilkida02,15:04,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,0,1,1,2,-15
watsoea01,13:33,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,1,3,0,-8
westbru01,34:27,6,10,.600,0,1,.000,3,4,.750,1,2,3,8,1,1,3,3,15,+6
wilcoch01,30:02,8,13,.615,0,1,.000,5,5,1.000,0,7,7,3,1,0,0,6,21,+7
smithjo02,23:39,4,6,.667,0,0,,0,0,,1,4,5,1,0,0,0,3,8,+5
masonde01,18:14,2,6,.333,0,0,,1,4,.250,2,1,3,1,0,0,2,3,5,-2
Team Totals,240,39,78,.500,7,16,.438,18,27,.667,7,26,33,23,6,2,10,26,103,
