Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stoudam01,36:09,15,20,.750,0,0,,12,13,.923,5,6,11,1,0,0,1,3,42,+38
richaja01,28:52,7,10,.700,3,5,.600,0,2,.000,3,4,7,1,1,0,0,1,17,+13
nashst01,27:03,6,11,.545,3,5,.600,6,6,1.000,0,3,3,12,0,0,3,1,21,+14
onealsh01,25:50,8,10,.800,0,0,,0,0,,1,5,6,3,0,2,2,3,16,+12
hillgr01,20:51,0,5,.000,0,2,.000,0,0,,0,3,3,4,0,0,0,1,0,+13
barbole01,21:47,6,12,.500,1,3,.333,0,0,,1,1,2,4,2,0,0,2,13,+14
barnema02,21:00,3,7,.429,1,4,.250,0,0,,0,5,5,5,0,0,0,5,7,+9
dragigo01,20:57,5,7,.714,1,1,1.000,1,2,.500,1,2,3,2,0,0,1,5,12,+9
dudleja01,15:27,4,5,.800,1,1,1.000,0,0,,1,1,2,1,1,1,0,1,9,+3
amundlo01,11:20,2,5,.400,0,0,,0,0,,2,1,3,0,0,0,0,2,4,-2
lopezro01,5:22,0,2,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-4
tuckeal02,5:22,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-4
Team Totals,240,56,95,.589,10,21,.476,20,25,.800,14,33,47,34,4,3,7,25,142,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thornal01,36:35,14,27,.519,0,0,,5,9,.556,2,1,3,1,0,2,1,1,33,-16
jordade01,36:03,3,4,.750,0,0,,3,8,.375,3,8,11,1,0,2,1,3,9,-20
gordoer01,31:27,5,12,.417,2,3,.667,11,13,.846,1,4,5,6,1,0,1,4,23,-20
davisba01,28:33,6,14,.429,2,5,.400,0,0,,1,3,4,7,2,1,2,1,14,-19
davisri01,23:49,4,9,.444,1,2,.500,1,1,1.000,0,1,1,4,0,0,0,3,10,-7
jonesfr01,30:21,6,9,.667,4,6,.667,4,4,1.000,1,4,5,2,1,1,0,4,20,-10
novakst01,27:28,3,9,.333,2,7,.286,0,1,.000,0,4,4,2,1,0,0,3,8,-11
collima01,25:44,1,4,.250,0,0,,0,0,,2,0,2,4,0,0,2,4,2,-12
Team Totals,240,42,88,.477,11,23,.478,24,36,.667,10,25,35,27,5,6,7,23,119,
