Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thompja02,40:05,7,12,.583,0,0,,4,7,.571,1,8,9,2,0,1,4,4,18,-4
evansty01,32:53,7,9,.778,0,1,.000,5,6,.833,0,7,7,3,2,1,1,4,19,-8
hawessp01,27:45,2,7,.286,0,0,,0,0,,1,1,2,2,0,0,2,1,4,-24
nocioan01,17:02,2,7,.286,1,3,.333,0,0,,0,2,2,0,0,0,1,1,5,-21
greendo01,14:22,3,10,.300,0,2,.000,0,1,.000,1,0,1,0,0,0,1,2,6,-21
udrihbe01,31:21,7,15,.467,2,5,.400,1,1,1.000,1,0,1,5,2,0,0,3,17,+13
udokaim01,25:02,3,4,.750,1,1,1.000,1,2,.500,2,3,5,1,0,0,1,3,8,+16
casspom01,18:45,3,5,.600,1,2,.500,2,2,1.000,3,0,3,0,0,0,1,1,9,-1
thomake01,15:05,0,3,.000,0,0,,0,0,,1,1,2,1,1,0,0,1,0,+18
brockjo01,9:28,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-1
rodrise01,8:12,0,3,.000,0,1,.000,2,3,.667,0,1,1,2,0,0,2,2,2,-2
Team Totals,240,34,76,.447,5,15,.333,15,22,.682,11,25,36,16,5,2,13,23,88,
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
roybr01,43:46,10,20,.500,1,3,.333,4,7,.571,2,3,5,10,0,0,5,1,25,+12
aldrila01,41:15,10,21,.476,0,0,,5,5,1.000,5,4,9,5,0,0,1,3,25,+2
przybjo01,30:36,2,3,.667,0,0,,1,2,.500,4,6,10,0,1,2,3,4,5,+27
millean02,28:46,2,10,.200,0,2,.000,0,0,,1,2,3,3,0,0,0,2,4,-6
webstma02,22:39,3,7,.429,2,4,.500,1,2,.500,0,4,4,2,0,0,1,0,9,+6
blakest01,24:30,2,4,.500,1,3,.333,0,0,,0,1,1,2,1,0,0,0,5,+6
bayleje01,24:19,3,6,.500,0,1,.000,8,10,.800,0,2,2,2,0,1,1,3,14,+3
howarju01,18:10,3,3,1.000,0,0,,0,0,,0,3,3,0,0,0,0,3,6,-16
cunnida01,5:59,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+1
Team Totals,240,36,76,.474,4,13,.308,19,26,.731,12,27,39,24,2,3,11,17,95,
