Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
matthwe02,36:25,3,7,.429,0,1,.000,3,4,.750,1,3,4,4,3,0,1,2,9,-16
boozeca01,34:41,10,23,.435,0,0,,3,4,.750,7,9,16,1,3,1,2,3,23,-16
milescj01,33:44,6,15,.400,0,3,.000,5,6,.833,2,3,5,4,1,0,2,5,17,-16
willide01,30:31,4,14,.286,0,3,.000,5,5,1.000,1,0,1,6,1,0,3,2,13,-12
okurme01,11:43,0,2,.000,0,0,,2,2,1.000,0,4,4,0,0,1,0,1,2,-10
millspa01,27:08,3,11,.273,0,0,,6,7,.857,4,7,11,2,2,0,2,5,12,+9
korveky01,26:53,3,5,.600,0,1,.000,0,0,,0,1,1,1,0,0,3,2,6,+6
gainesu01,12:00,2,4,.500,0,1,.000,4,6,.667,2,2,4,4,3,0,1,0,8,+4
fesenky01,9:04,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,6,0,-13
jeffeot01,8:58,3,3,1.000,0,0,,2,3,.667,1,0,1,0,1,0,0,2,8,+9
pricero01,8:53,0,3,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,0,2,+5
Team Totals,240,34,88,.386,0,9,.000,32,39,.821,18,30,48,23,14,2,15,28,100,
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stoudam01,35:08,14,16,.875,0,0,,16,18,.889,2,5,7,0,1,2,5,4,44,+15
richaja01,34:34,4,12,.333,2,8,.250,1,2,.500,0,7,7,2,0,1,1,2,11,+16
lopezro01,34:03,7,9,.778,0,0,,5,6,.833,5,5,10,0,1,4,0,5,19,+14
nashst01,33:55,7,13,.538,1,2,.500,0,0,,0,7,7,10,2,1,6,4,15,+17
hillgr01,32:39,1,6,.167,0,0,,2,2,1.000,1,1,2,4,2,2,2,5,4,+3
dragigo01,20:02,1,5,.200,0,0,,0,0,,0,1,1,1,0,0,3,1,2,-2
amundlo01,13:03,0,0,,0,0,,1,4,.250,1,3,4,0,0,0,3,1,1,-9
fryech01,12:47,2,5,.400,1,2,.500,0,0,,0,4,4,3,1,0,1,3,5,+2
dudleja01,11:52,2,4,.500,1,3,.333,0,0,,0,0,0,1,1,0,1,3,5,0
barbole01,10:58,1,2,.500,1,2,.500,1,1,1.000,0,2,2,1,0,0,0,1,4,-4
collija03,1:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,39,74,.527,6,17,.353,26,33,.788,9,35,44,22,8,10,22,29,110,
