Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
martike02,40:42,9,16,.563,2,4,.500,8,8,1.000,0,3,3,0,1,0,7,2,28,-7
arizatr01,35:08,5,9,.556,0,2,.000,2,2,1.000,0,7,7,6,3,1,1,0,12,+8
brookaa01,30:45,6,13,.462,2,4,.500,2,2,1.000,0,1,1,2,0,0,1,1,16,-6
scolalu01,22:30,2,6,.333,0,0,,0,0,,0,1,1,0,0,0,2,4,4,-18
hayesch01,14:29,2,2,1.000,0,0,,0,0,,0,4,4,1,0,0,0,1,4,-12
budinch01,26:46,7,12,.583,3,7,.429,1,2,.500,0,5,5,1,0,0,1,2,18,+6
hilljo01,25:25,4,8,.500,0,0,,5,5,1.000,3,2,5,3,0,0,1,3,13,+24
lowryky01,21:50,6,13,.462,1,2,.500,5,5,1.000,1,2,3,5,2,0,0,1,18,+12
jeffrja01,13:24,0,1,.000,0,0,,0,0,,1,2,3,0,1,2,1,0,0,+9
battish01,9:02,0,1,.000,0,1,.000,3,6,.500,1,0,1,2,1,0,0,3,3,+4
Team Totals,240,41,81,.506,8,20,.400,26,30,.867,6,27,33,20,8,3,14,17,116,
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
leeda02,43:05,10,18,.556,0,2,.000,7,7,1.000,6,14,20,6,1,2,2,3,27,+6
gallida01,42:10,8,15,.533,3,5,.600,7,9,.778,0,1,1,1,0,0,2,4,26,-11
douglto01,37:02,10,19,.526,6,10,.600,0,0,,0,3,3,4,2,0,5,5,26,+5
mcgratr01,32:51,6,11,.545,0,2,.000,3,4,.750,3,4,7,5,2,2,1,2,15,+15
walkebi01,29:00,2,8,.250,1,7,.143,0,0,,0,4,4,0,1,0,3,4,5,-12
harrial01,22:52,2,7,.286,0,3,.000,0,1,.000,0,3,3,1,1,0,3,5,4,-6
duhonch01,18:03,1,1,1.000,0,0,,0,0,,0,3,3,4,0,0,1,0,2,-12
giddejr01,14:57,3,3,1.000,0,0,,1,2,.500,1,2,3,1,1,0,1,2,7,-5
Team Totals,240,42,82,.512,10,29,.345,18,23,.783,10,34,44,22,8,4,18,25,112,
