Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duranke01,39:48,12,21,.571,2,3,.667,3,4,.750,1,6,7,6,1,1,1,4,29,+5
westbru01,33:12,5,16,.313,1,1,1.000,7,8,.875,0,1,1,5,2,0,6,3,18,+11
ibakase01,30:38,3,9,.333,0,0,,0,1,.000,6,6,12,1,2,3,0,3,6,+3
sefolth01,22:53,2,6,.333,1,2,.500,3,4,.750,2,4,6,1,0,0,0,1,8,+2
perkike01,18:26,1,1,1.000,0,0,,2,2,1.000,2,3,5,0,1,0,0,6,4,-5
hardeja01,28:06,4,12,.333,2,8,.250,2,3,.667,1,2,3,2,0,0,2,3,12,+9
collini01,26:40,2,5,.400,0,0,,0,0,,1,4,5,4,1,0,0,4,4,+14
mohamna01,15:29,3,10,.300,0,0,,0,0,,4,5,9,0,0,0,0,1,6,+9
maynoer01,14:48,1,4,.250,1,2,.500,0,0,,0,1,1,2,0,0,2,0,3,0
cookda02,10:00,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,0,6,+7
Team Totals,240,35,88,.398,9,20,.450,17,22,.773,17,34,51,21,7,4,11,25,96,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wadedw01,40:29,7,21,.333,1,5,.200,6,9,.667,2,4,6,2,1,1,2,4,21,-8
jamesle01,39:30,8,21,.381,0,3,.000,3,3,1.000,0,8,8,3,1,1,1,0,19,-6
boshch01,39:06,6,17,.353,0,2,.000,9,10,.900,3,8,11,1,0,2,3,0,21,-15
chalmma01,22:30,0,1,.000,0,1,.000,0,0,,0,2,2,3,0,0,3,2,0,-1
dampier01,13:42,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,2,1,2,1,-8
bibbymi01,26:06,4,8,.500,2,4,.500,0,0,,0,2,2,1,1,0,1,4,10,-10
anthojo01,21:56,2,2,1.000,0,0,,2,2,1.000,3,1,4,1,1,2,0,1,6,+5
millemi01,17:52,1,3,.333,0,2,.000,0,0,,1,2,3,1,1,0,0,4,2,-6
magloja01,9:23,1,2,.500,0,0,,1,2,.500,0,3,3,1,0,0,0,0,3,-8
howarju01,8:54,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,2,2,+4
jonesja02,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,30,78,.385,3,17,.176,22,28,.786,9,31,40,14,5,8,11,19,85,
