Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
rondora01,40:44,9,16,.563,1,3,.333,4,4,1.000,1,5,6,14,0,0,1,0,23,+15
piercpa01,36:34,6,17,.353,1,3,.333,11,14,.786,5,7,12,4,3,0,0,3,24,+13
garneke01,30:12,12,17,.706,0,0,,3,5,.600,0,13,13,4,1,0,1,3,27,+27
bassbr01,26:52,5,10,.500,0,0,,0,0,,1,4,5,1,1,1,1,1,10,+21
bradlav01,20:09,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,1,3,0,+8
allenra02,25:26,1,1,1.000,0,0,,1,2,.500,0,4,4,0,0,0,0,1,3,+11
pietrmi01,24:10,4,8,.500,3,4,.750,2,2,1.000,0,0,0,0,1,0,0,2,13,+8
holliry01,16:01,1,4,.250,0,0,,1,1,1.000,0,0,0,0,0,3,1,4,3,-15
doolike01,7:16,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,+1
stiemgr01,4:03,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
mooreet01,2:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,1,2,2,-3
pavloal01,2:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
daniema01,2:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Team Totals,240,40,77,.519,5,11,.455,22,28,.786,7,37,44,26,6,6,7,19,107,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
holidjr01,36:18,5,10,.500,3,4,.750,2,2,1.000,0,6,6,9,0,1,3,1,15,-15
turneev01,34:38,1,10,.100,0,0,,2,4,.500,0,8,8,3,1,2,0,3,4,-6
iguodan01,31:58,3,6,.500,2,4,.500,2,3,.667,2,2,4,2,1,1,3,3,10,-16
hawessp01,24:36,2,8,.250,0,0,,0,1,.000,1,3,4,1,0,1,2,2,4,-13
brandel01,14:32,1,6,.167,0,0,,1,1,1.000,3,1,4,1,0,0,0,2,3,-23
willilo02,27:38,4,10,.400,2,3,.667,3,3,1.000,0,0,0,4,1,0,1,1,13,-12
youngth01,26:03,10,16,.625,0,0,,2,2,1.000,2,3,5,1,0,1,0,2,22,-1
allenla01,20:01,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,0,5,4,-2
meeksjo01,16:46,4,9,.444,1,4,.250,4,4,1.000,2,0,2,1,0,0,0,1,13,-1
vucevni01,2:51,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,+3
youngsa01,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
silasxa01,1:48,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+3
Team Totals,240,33,81,.407,8,15,.533,17,22,.773,11,26,37,22,3,7,9,20,91,
