Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
martike02,42:04,7,16,.438,1,5,.200,10,10,1.000,0,4,4,8,2,0,4,0,25,+15
lowryky01,31:50,4,14,.286,2,5,.400,6,6,1.000,2,3,5,6,3,0,1,4,16,+19
scolalu01,31:01,8,15,.533,0,0,,2,2,1.000,1,4,5,1,0,0,2,3,18,+12
dalemsa01,30:37,9,11,.818,0,0,,2,2,1.000,2,5,7,0,0,3,2,3,20,+7
parsoch01,29:21,4,7,.571,0,1,.000,0,0,,3,5,8,4,0,2,0,2,8,+11
pattepa01,23:41,2,5,.400,0,0,,0,0,,2,1,3,1,1,0,1,1,4,+3
dragigo01,22:06,2,5,.400,1,2,.500,4,4,1.000,0,1,1,3,0,0,0,4,9,-18
budinch01,18:39,3,6,.500,1,3,.333,1,2,.500,2,3,5,1,0,1,0,1,8,-3
hilljo01,10:41,3,8,.375,0,0,,0,0,,3,1,4,0,0,1,1,3,6,-6
Team Totals,240,42,87,.483,5,16,.313,25,26,.962,15,27,42,24,6,7,11,21,114,
Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
walljo01,43:57,13,22,.591,0,0,,12,16,.750,1,5,6,8,4,1,2,3,38,-8
youngni01,29:01,3,12,.250,2,5,.400,5,5,1.000,0,0,0,1,0,0,1,0,13,-5
mcgeeja01,25:17,4,7,.571,0,0,,0,0,,4,6,10,0,0,3,3,4,8,-18
singlch01,17:42,3,6,.500,0,2,.000,0,0,,0,3,3,0,2,0,1,4,6,-12
booketr01,10:40,1,6,.167,0,0,,1,2,.500,1,2,3,0,0,0,1,2,3,-12
blatcan01,34:18,4,8,.500,0,0,,3,4,.750,3,9,12,1,1,0,2,1,11,+3
crawfjo02,29:24,7,12,.583,1,2,.500,2,2,1.000,0,2,2,4,0,0,3,3,17,-1
veselja01,25:45,3,4,.750,0,0,,1,2,.500,4,2,6,0,0,0,1,4,7,+11
masonro01,12:18,0,2,.000,0,2,.000,1,1,1.000,0,0,0,1,0,0,0,0,1,0
evansma01,7:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+2
macksh01,4:03,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Team Totals,240,39,80,.488,3,11,.273,25,32,.781,13,30,43,16,7,4,14,22,106,
