Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gortama01,37:23,8,15,.533,0,0,,3,4,.750,4,13,17,2,0,3,0,3,19,+6
nashst01,36:19,2,9,.222,0,3,.000,4,4,1.000,0,1,1,12,0,0,3,0,8,0
hillgr01,34:26,6,10,.600,1,1,1.000,6,7,.857,2,6,8,2,2,0,8,1,19,+4
morrima02,29:20,2,9,.222,1,1,1.000,2,2,1.000,4,7,11,1,1,0,1,5,7,+10
pricero01,15:03,1,4,.250,1,3,.333,0,0,,0,0,0,1,2,0,0,2,3,-10
brownsh01,25:23,6,14,.429,2,4,.500,0,0,,0,1,1,2,1,0,1,0,14,0
dudleja01,24:24,1,7,.143,0,2,.000,1,1,1.000,4,4,8,1,1,0,2,2,3,0
fryech01,15:24,2,6,.333,0,2,.000,0,0,,3,2,5,1,0,0,1,1,4,-22
telfase01,11:41,2,7,.286,1,4,.250,3,4,.750,0,1,1,0,2,0,2,2,8,-6
lopezro01,10:37,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,1,3,2,-12
Team Totals,240,31,83,.373,6,20,.300,19,22,.864,17,35,52,22,9,4,19,19,87,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
kiddja01,32:31,1,6,.167,1,6,.167,0,0,,0,5,5,5,1,0,0,1,3,+5
mariosh01,31:06,11,21,.524,4,6,.667,3,5,.600,1,3,4,2,1,0,0,1,29,-3
odomla01,28:12,4,10,.400,2,4,.500,1,5,.200,0,3,3,5,0,0,0,2,11,-9
westde01,24:16,1,6,.167,0,1,.000,0,0,,1,5,6,3,2,1,2,2,2,+2
haywobr01,19:28,5,10,.500,0,0,,0,0,,4,2,6,1,0,0,2,3,10,+12
terryja01,32:26,5,10,.500,1,5,.200,1,2,.500,0,0,0,4,4,0,4,1,12,+10
mahinia01,28:32,4,7,.571,0,0,,9,12,.750,4,5,9,2,0,3,2,2,17,-6
beaubro01,17:57,0,5,.000,0,2,.000,4,4,1.000,0,3,3,1,2,1,2,2,4,0
cardibr01,16:57,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,3,0,+10
wrighbr03,8:35,2,4,.500,0,0,,1,1,1.000,2,1,3,0,1,0,0,0,5,+9
Team Totals,240,33,81,.407,8,25,.320,19,29,.655,12,30,42,23,11,5,12,17,93,
