Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
cookda02,35:49,4,10,.400,4,10,.400,1,2,.500,1,3,4,0,1,2,0,1,13,-2
duranke01,34:49,9,19,.474,0,2,.000,4,6,.667,0,11,11,4,1,4,2,5,22,-22
westbru01,30:48,8,16,.500,1,2,.500,1,1,1.000,1,5,6,6,1,2,3,4,18,-26
ibakase01,27:22,4,9,.444,0,0,,2,7,.286,2,3,5,0,0,2,1,3,10,-22
perkike01,21:05,0,1,.000,0,0,,0,0,,1,2,3,0,0,2,2,3,0,-13
hardeja01,29:52,5,10,.500,0,3,.000,9,10,.900,0,5,5,4,1,0,1,2,19,-6
collini01,18:54,0,0,,0,0,,0,0,,0,3,3,1,1,0,3,4,0,+2
jacksre01,17:12,4,7,.571,2,3,.667,0,0,,1,1,2,3,1,0,1,1,10,+15
mohamna01,10:21,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-4
haywala01,8:02,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,1,2,+11
aldrico01,2:53,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+6
iveyro01,2:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+6
Team Totals,240,36,77,.468,7,21,.333,17,28,.607,7,36,43,18,6,12,13,25,96,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
parketo01,39:24,16,29,.552,0,2,.000,10,12,.833,0,3,3,9,2,1,0,2,42,+20
jefferi01,33:26,3,9,.333,3,4,.750,0,0,,4,2,6,0,0,0,1,3,9,+15
leonaka01,31:14,5,7,.714,3,3,1.000,2,2,1.000,1,5,6,5,1,1,0,3,15,+15
duncati01,29:34,5,16,.313,0,0,,3,3,1.000,3,12,15,3,1,2,2,2,13,+24
blairde01,21:48,1,3,.333,0,0,,3,4,.750,1,2,3,0,0,1,1,2,5,+11
greenda02,25:43,2,6,.333,2,5,.400,0,0,,0,2,2,0,0,1,2,2,6,-3
nealga01,19:38,1,8,.125,1,5,.200,0,0,,0,1,1,1,0,0,0,2,3,-13
bonnema01,18:59,3,5,.600,3,4,.750,0,0,,0,3,3,1,0,0,0,2,9,+3
splitti01,16:38,1,5,.200,0,0,,3,4,.750,1,4,5,2,0,1,3,3,5,-9
josepco01,1:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
anderja01,1:48,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-4
Team Totals,240,37,88,.420,12,23,.522,21,25,.840,11,34,45,21,4,7,10,22,107,
