New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
brookma01,28:20,5,11,.455,2,4,.500,0,0,,1,1,2,2,1,0,2,1,12,-26
willide01,26:04,7,13,.538,2,5,.400,0,0,,0,0,0,4,1,0,3,1,16,-15
stevede01,25:55,2,8,.250,1,6,.167,2,3,.667,0,1,1,2,2,0,1,0,7,-13
humphkr01,23:43,3,10,.300,0,0,,3,4,.750,3,3,6,1,1,1,1,2,9,-22
willish02,17:31,0,0,,0,0,,0,0,,1,1,2,0,3,1,1,2,0,-16
petrojo01,28:37,4,9,.444,1,1,1.000,2,2,1.000,1,7,8,0,2,0,0,3,11,-17
greenge01,22:00,1,7,.143,1,2,.500,0,0,,1,1,2,0,0,1,3,2,3,-8
willijo03,21:04,2,5,.400,0,0,,0,0,,1,1,2,0,2,0,1,0,4,-4
morroan01,19:43,3,8,.375,0,0,,0,0,,1,0,1,2,0,0,1,0,6,-11
gainesu01,17:08,3,8,.375,0,2,.000,1,3,.333,1,4,5,2,1,0,0,1,7,-1
farmajo01,9:56,1,4,.250,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,-17
Team Totals,240,31,83,.373,8,22,.364,8,12,.667,10,19,29,14,13,3,13,12,78,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
chalmma01,32:17,3,8,.375,2,3,.667,0,0,,0,5,5,7,2,0,5,2,8,+11
jamesle01,29:36,9,11,.818,1,1,1.000,2,2,1.000,1,8,9,6,0,0,5,0,21,+20
boshch01,24:02,9,14,.643,0,0,,2,2,1.000,1,1,2,1,1,0,0,1,20,+23
anthojo01,18:46,1,2,.500,0,0,,0,0,,0,3,3,0,0,1,0,2,2,0
wadedw01,14:58,6,8,.750,0,0,,1,1,1.000,1,1,2,3,0,0,1,1,13,+11
coleno01,22:07,5,7,.714,2,3,.667,1,2,.500,0,1,1,4,1,0,2,3,13,+12
battish01,21:09,4,7,.571,3,5,.600,0,0,,0,1,1,2,0,1,1,0,11,+16
millemi01,18:37,2,6,.333,2,4,.500,0,0,,0,8,8,4,0,0,2,1,6,+25
hasleud01,17:42,0,1,.000,0,0,,0,0,,2,2,4,1,0,0,0,1,0,+27
pittmde01,15:10,4,7,.571,0,0,,2,2,1.000,1,5,6,0,0,0,0,2,10,+19
jonesja02,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-2
howarju01,7:41,1,3,.333,0,0,,0,0,,1,0,1,0,2,0,1,0,2,-7
curryed01,5:56,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-5
Team Totals,240,45,77,.584,10,17,.588,8,9,.889,7,36,43,30,6,2,17,13,108,
