Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gasolma01,41:15,6,13,.462,0,0,,1,1,1.000,1,7,8,1,1,1,1,2,13,+6
allento01,40:35,5,11,.455,0,2,.000,5,6,.833,3,5,8,0,1,0,1,4,15,+13
gayru01,36:16,4,15,.267,0,1,.000,4,4,1.000,4,4,8,2,0,0,1,2,12,+8
speigma01,21:02,4,8,.500,0,0,,1,1,1.000,4,9,13,1,1,0,2,2,9,+4
pargoje01,19:56,4,7,.571,2,4,.500,0,0,,0,0,0,1,1,0,2,1,10,-4
mayooj01,30:02,8,19,.421,1,4,.250,5,5,1.000,0,2,2,3,2,0,0,2,22,+9
randoza01,26:36,2,9,.222,0,1,.000,6,7,.857,1,2,3,3,0,0,1,1,10,+4
arenagi01,19:36,0,2,.000,0,2,.000,0,0,,0,0,0,1,2,0,0,2,0,-6
pondequ01,4:42,1,3,.333,1,2,.500,0,0,,1,0,1,0,1,0,0,1,3,-4
Team Totals,240,34,87,.391,4,16,.250,22,24,.917,14,29,43,12,9,1,8,17,94,
Oklahoma City Thunder
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
duranke01,43:07,8,20,.400,2,8,.250,3,4,.750,0,8,8,3,0,0,3,1,21,-5
westbru01,36:57,5,16,.313,0,3,.000,9,10,.900,3,1,4,3,3,0,5,2,19,0
perkike01,28:46,3,4,.750,0,0,,1,2,.500,3,8,11,2,0,1,3,3,7,-4
ibakase01,28:31,6,9,.667,0,0,,0,1,.000,0,5,5,0,1,6,0,2,12,+2
sefolth01,24:28,2,6,.333,2,4,.500,0,0,,1,3,4,0,0,0,2,4,6,-5
hardeja01,32:03,5,9,.556,1,5,.200,3,5,.600,0,5,5,5,2,1,0,4,14,-3
collini01,20:33,4,4,1.000,0,0,,0,0,,1,1,2,0,0,0,3,3,8,-6
fishede01,14:32,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,1,0,-3
mohamna01,11:03,0,2,.000,0,0,,1,2,.500,1,3,4,0,0,0,0,0,1,-6
Team Totals,240,33,73,.452,5,21,.238,17,24,.708,9,34,43,14,6,8,18,20,88,
