New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
feltora01,47:33,10,21,.476,4,9,.444,3,4,.750,0,4,4,3,3,0,2,1,27,-4
anthoca01,45:05,10,35,.286,0,7,.000,16,20,.800,1,6,7,2,1,0,7,5,36,-10
shumpim01,44:05,5,13,.385,2,6,.333,0,0,,4,8,12,0,2,2,0,4,12,+5
chandty01,31:24,2,3,.667,0,0,,1,2,.500,5,6,11,1,0,1,2,4,5,-6
prigipa01,28:19,1,6,.167,0,3,.000,1,2,.500,1,3,4,2,4,0,1,3,3,+1
kiddja01,36:52,0,3,.000,0,2,.000,0,0,,2,7,9,2,0,0,2,4,0,-5
martike01,21:36,2,4,.500,0,0,,0,0,,2,4,6,0,0,0,1,4,4,-1
novakst01,7:20,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,0,1,3,-9
richaqu01,2:46,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Team Totals,265,31,90,.344,7,30,.233,21,28,.750,16,38,54,10,10,3,15,27,90,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,49:51,9,20,.450,4,8,.500,7,8,.875,0,8,8,6,0,1,6,5,29,-2
greenje02,48:27,9,22,.409,1,4,.250,7,8,.875,1,5,6,2,1,0,1,5,26,+2
bradlav01,39:54,1,7,.143,1,3,.333,0,0,,0,3,3,1,4,1,3,3,3,+8
garneke01,36:57,5,7,.714,0,0,,3,3,1.000,1,16,17,6,1,1,2,4,13,+16
bassbr01,30:39,2,3,.667,0,0,,0,0,,1,3,4,0,0,0,1,6,4,+6
terryja01,40:50,7,10,.700,1,4,.250,3,3,1.000,0,0,0,4,1,0,0,2,18,-2
willite01,10:45,0,2,.000,0,0,,1,2,.500,0,1,1,3,0,1,3,1,1,+5
crawfjo02,6:55,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,+8
wilcoch01,0:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Team Totals,265,34,76,.447,8,22,.364,21,24,.875,3,37,40,22,7,4,16,26,97,
