Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
georgpa01,37:49,8,16,.500,3,9,.333,1,3,.333,0,4,4,1,1,0,7,4,20,-28
hibbero01,35:57,3,7,.429,0,0,,0,0,,5,7,12,1,0,4,2,3,6,-19
hillge01,33:54,4,11,.364,2,5,.400,2,4,.500,0,3,3,7,0,1,4,3,12,-17
stephla01,33:47,4,13,.308,1,7,.143,0,0,,1,3,4,2,2,0,1,1,9,-10
westda01,33:26,4,7,.571,0,0,,5,5,1.000,0,6,6,4,0,0,2,3,13,-12
hansbty01,14:34,0,0,,0,0,,2,4,.500,1,1,2,0,0,0,1,0,2,-14
augusdj01,13:39,2,3,.667,0,0,,0,0,,0,1,1,1,1,0,1,1,4,-17
pendeje02,7:17,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-7
youngsa01,6:49,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,0
greenge01,6:02,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,0,0,7,-2
johnsor01,6:02,1,2,.500,1,1,1.000,1,2,.500,0,0,0,0,0,0,0,0,4,-2
hansbbe01,6:02,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,-2
mahinia01,4:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Team Totals,240,30,66,.455,8,25,.320,11,18,.611,7,28,35,19,4,5,21,18,79,
New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,35:14,13,26,.500,2,5,.400,4,4,1.000,3,6,9,3,2,0,0,4,32,+20
chandty01,30:33,4,5,.800,0,0,,0,0,,2,2,4,1,0,0,0,3,8,+21
shumpim01,28:58,7,11,.636,1,3,.333,0,0,,2,4,6,3,1,0,0,3,15,+5
feltora01,26:51,5,9,.556,2,2,1.000,2,2,1.000,2,0,2,3,1,0,1,1,14,-2
prigipa01,20:56,4,4,1.000,2,2,1.000,0,0,,0,4,4,4,0,1,0,3,10,+23
smithjr01,30:09,3,15,.200,1,7,.143,1,2,.500,1,5,6,1,2,1,3,1,8,+27
kiddja01,24:25,0,3,.000,0,3,.000,0,0,,1,1,2,4,2,0,2,0,0,+20
martike01,17:56,5,6,.833,0,0,,0,2,.000,0,1,1,1,2,2,0,1,10,+16
copelch01,10:13,0,4,.000,0,3,.000,0,0,,0,0,0,0,1,0,0,2,0,0
richaqu01,4:55,2,3,.667,2,3,.667,0,0,,1,0,1,0,0,0,0,1,6,0
whiteja02,4:55,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,0
novakst01,4:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,44,89,.494,10,30,.333,7,10,.700,13,24,37,20,11,4,6,20,105,
