Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
griffbl01,37:25,10,19,.526,1,2,.500,1,2,.500,4,6,10,3,1,0,0,1,22,+8
paulch01,34:17,6,15,.400,1,3,.333,5,6,.833,0,4,4,4,3,1,2,0,18,+6
jordade01,24:04,3,5,.600,0,0,,1,4,.250,4,6,10,1,0,0,1,3,7,0
butleca01,23:04,3,8,.375,0,0,,3,3,1.000,1,3,4,0,1,0,0,1,9,+2
greenwi01,16:10,2,9,.222,0,2,.000,0,0,,0,1,1,0,0,1,2,3,4,-9
crawfja01,31:23,4,7,.571,0,0,,2,2,1.000,0,3,3,5,1,0,3,3,10,+13
barnema02,24:56,4,7,.571,2,4,.500,4,6,.667,1,3,4,2,2,2,2,3,14,+3
odomla01,23:56,1,2,.500,0,0,,0,0,,0,5,5,1,1,0,1,1,2,+5
bledser01,14:10,3,6,.500,0,0,,0,0,,0,0,0,3,2,0,2,0,6,0
turiaro01,10:35,1,2,.500,0,0,,0,0,,1,0,1,0,0,1,2,0,2,-3
Team Totals,240,37,80,.463,4,11,.364,16,23,.696,11,31,42,19,11,5,15,15,94,
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
noahjo01,42:30,4,9,.444,0,0,,2,2,1.000,3,8,11,6,1,2,4,3,10,-1
belinma01,41:25,6,22,.273,4,10,.400,2,2,1.000,2,5,7,5,2,0,2,2,18,0
boozeca01,40:04,11,20,.550,0,0,,2,4,.500,5,8,13,3,1,1,3,2,24,-6
denglu01,39:56,3,14,.214,2,4,.500,0,0,,2,5,7,2,2,1,4,3,8,-10
hinriki01,28:52,3,7,.429,2,2,1.000,0,0,,0,1,1,4,1,0,1,5,8,-6
robinna01,19:08,3,8,.375,2,4,.500,1,2,.500,1,3,4,5,0,0,2,2,9,+1
butleji01,14:39,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,0
gibsota01,13:26,4,5,.800,0,0,,2,2,1.000,4,2,6,1,1,0,0,1,10,-3
Team Totals,240,35,87,.402,10,20,.500,9,12,.750,18,32,50,26,8,4,16,18,89,
