New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,43:17,13,23,.565,3,8,.375,5,6,.833,1,6,7,3,0,0,3,4,34,-7
chandty01,39:53,3,7,.429,0,0,,0,2,.000,4,5,9,1,1,1,1,6,6,-9
feltora01,35:52,5,19,.263,0,1,.000,0,0,,1,1,2,6,2,0,0,2,10,-5
kiddja01,34:04,2,5,.400,2,4,.500,0,0,,1,5,6,7,2,0,3,2,6,-2
thomaku01,12:59,3,3,1.000,0,0,,0,0,,0,3,3,1,1,1,0,1,6,+11
smithjr01,37:07,10,23,.435,3,8,.375,2,4,.500,1,4,5,0,2,0,1,4,25,-18
novakst01,15:13,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,1,1,3,-6
brewero02,8:18,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,2,0,-2
cambyma01,8:07,1,3,.333,0,0,,2,4,.500,1,3,4,0,0,1,1,2,4,+3
prigipa01,5:10,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,1,0,+5
Team Totals,240,38,89,.427,9,26,.346,9,16,.563,11,29,40,20,9,3,10,25,94,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,43:37,14,24,.583,1,5,.200,5,7,.714,1,4,5,1,0,1,1,2,34,+11
howardw01,38:15,4,8,.500,0,0,,6,9,.667,2,10,12,1,2,2,1,1,14,-1
nashst01,37:46,7,12,.583,0,1,.000,2,2,1.000,3,3,6,11,0,0,3,1,16,+4
gasolpa01,34:17,5,13,.385,1,3,.333,2,4,.500,0,8,8,6,1,1,1,2,13,+2
morrida01,6:55,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-4
artesro01,39:01,6,11,.545,3,6,.500,5,7,.714,2,5,7,1,1,0,2,6,20,+6
meeksjo01,21:46,1,6,.167,0,4,.000,1,2,.500,0,1,1,1,0,0,2,2,3,+8
duhonch01,10:14,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,+2
hilljo01,8:09,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+2
Team Totals,240,37,77,.481,5,21,.238,21,31,.677,8,34,42,22,4,4,11,17,100,
