Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lawsoty01,36:09,8,13,.615,1,3,.333,2,4,.500,1,1,2,6,0,0,1,1,19,+17
iguodan01,29:36,2,6,.333,0,2,.000,2,3,.667,0,3,3,7,3,0,1,1,6,+11
gallida01,29:33,1,8,.125,0,2,.000,3,3,1.000,0,5,5,2,1,0,1,0,5,+10
koufoko01,26:16,10,11,.909,0,0,,2,3,.667,4,6,10,1,1,1,1,3,22,+10
farieke01,20:15,4,9,.444,0,0,,2,2,1.000,3,6,9,1,0,1,2,1,10,+3
millean02,27:25,3,7,.429,0,0,,1,1,1.000,1,1,2,5,0,0,2,4,7,+12
chandwi01,26:35,5,7,.714,0,1,.000,1,2,.500,1,5,6,1,3,0,3,0,11,+4
breweco01,26:13,7,16,.438,2,4,.500,4,6,.667,2,1,3,1,3,0,3,2,20,+7
mcgeeja01,17:59,4,9,.444,0,0,,0,1,.000,2,3,5,1,1,0,0,4,8,+1
Team Totals,240,44,86,.512,3,12,.250,17,25,.680,14,31,45,25,12,2,14,16,108,
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
dragigo01,35:49,3,9,.333,1,3,.333,1,1,1.000,1,0,1,7,4,0,2,1,8,-14
johnswe01,32:43,9,17,.529,0,4,.000,0,0,,1,1,2,1,0,1,2,2,18,-11
scolalu01,28:36,2,7,.286,0,0,,5,6,.833,2,11,13,6,0,0,2,4,9,-11
morrima02,27:02,2,7,.286,0,1,.000,0,0,,0,2,2,2,2,0,2,3,4,-7
morrima03,23:58,6,13,.462,1,2,.500,3,6,.500,0,4,4,3,2,1,1,4,16,-8
dudleja01,20:31,4,9,.444,3,5,.600,1,2,.500,2,0,2,2,1,0,2,0,12,-5
haddaha01,18:33,4,7,.571,0,0,,5,5,1.000,3,5,8,1,1,2,3,4,13,-1
beaslmi01,16:28,3,7,.429,0,1,.000,2,2,1.000,0,4,4,1,0,0,2,1,8,-5
tuckepj01,15:10,0,2,.000,0,0,,0,0,,2,2,4,1,0,0,0,1,0,-8
marshke01,13:24,1,3,.333,1,3,.333,0,0,,0,2,2,1,1,1,2,1,3,-1
brownsh01,7:46,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-4
Team Totals,240,35,84,.417,6,20,.300,17,22,.773,12,31,43,25,11,5,18,21,93,
