Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gayru01,40:03,8,18,.444,2,5,.400,7,7,1.000,1,7,8,3,0,2,4,3,25,-5
derozde01,39:40,7,12,.583,1,2,.500,4,4,1.000,1,2,3,2,0,0,2,2,19,-3
lowryky01,37:41,6,13,.462,1,6,.167,5,5,1.000,4,3,7,5,1,1,5,3,18,+2
johnsam01,35:41,3,8,.375,0,0,,2,2,1.000,4,6,10,2,2,4,1,6,8,+2
valanjo01,31:19,6,11,.545,0,0,,6,6,1.000,1,7,8,2,2,2,1,5,18,+6
rosste01,17:05,2,5,.400,0,1,.000,0,0,,2,0,2,0,1,0,0,1,4,-3
anderal01,12:19,1,3,.333,0,1,.000,2,2,1.000,0,1,1,3,0,0,1,1,4,-11
fieldla01,12:06,1,5,.200,0,0,,0,0,,2,2,4,1,1,0,1,2,2,-6
lucasjo02,5:45,0,3,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,1,0,-9
telfase01,5:07,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-1
pietrmi01,3:14,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,3,0,-2
Team Totals,240,35,83,.422,5,22,.227,26,26,1.000,15,30,45,18,7,9,16,27,101,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hendege02,39:02,8,14,.571,0,0,,5,6,.833,2,5,7,5,1,2,3,2,21,+1
walkeke02,35:44,4,14,.286,0,3,.000,6,6,1.000,2,5,7,8,4,0,1,6,14,-2
mcrobjo01,31:52,5,9,.556,0,0,,2,5,.400,2,10,12,3,0,0,3,3,12,-2
biyombi01,31:39,2,6,.333,0,0,,0,0,,3,0,3,0,0,2,1,2,4,-3
kiddgmi01,20:06,0,1,.000,0,0,,2,2,1.000,1,4,5,1,0,0,3,1,2,-11
mulleby01,27:50,7,11,.636,3,4,.750,8,12,.667,1,4,5,2,2,3,0,2,25,+13
gordobe01,25:50,5,11,.455,2,5,.400,4,5,.800,0,0,0,1,0,0,1,3,16,+13
tayloje03,15:55,0,4,.000,0,0,,2,4,.500,2,0,2,0,1,0,0,2,2,+11
pargoja01,12:02,4,5,.800,3,4,.750,0,0,,0,1,1,1,2,0,0,5,11,+10
Team Totals,240,35,75,.467,8,16,.500,29,40,.725,13,29,42,21,10,7,12,26,107,
