Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
harrito02,44:32,5,17,.294,0,1,.000,2,2,1.000,2,9,11,3,1,2,2,3,12,+2
vucevni01,40:13,8,14,.571,0,0,,0,0,,4,11,15,3,2,2,4,2,16,0
udrihbe01,36:08,10,17,.588,3,5,.600,4,4,1.000,1,4,5,7,2,0,4,1,27,+4
nichoan01,25:10,2,4,.500,0,0,,2,2,1.000,1,4,5,0,0,0,1,1,6,+1
harklma01,8:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,2,0,1,0,-3
jonesde01,36:05,3,11,.273,1,3,.333,3,4,.750,0,2,2,0,0,1,1,3,10,-3
lambdo01,28:02,1,5,.200,0,0,,1,3,.333,0,1,1,1,1,0,0,2,3,+3
mooreet01,13:42,1,6,.167,0,1,.000,2,2,1.000,1,1,2,4,0,0,1,1,4,-8
oquinky01,7:47,4,5,.800,0,0,,0,0,,1,3,4,0,0,0,0,1,8,-1
Team Totals,240,34,80,.425,4,10,.400,14,17,.824,10,35,45,18,6,7,13,15,86,
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
butleji01,42:39,5,13,.385,0,2,.000,2,2,1.000,2,1,3,1,2,0,0,0,12,-4
denglu01,41:21,5,18,.278,2,5,.400,7,7,1.000,1,3,4,2,1,1,1,0,19,+4
boozeca01,39:02,6,16,.375,0,0,,0,0,,1,8,9,4,2,0,6,3,12,+1
hinriki01,34:21,5,9,.556,2,5,.400,1,1,1.000,0,3,3,4,2,1,1,1,13,-5
mohamna01,31:21,1,6,.167,0,0,,3,4,.750,4,7,11,1,0,3,0,2,5,-1
robinna01,28:09,8,17,.471,3,7,.429,0,0,,0,3,3,5,1,0,3,3,19,+2
radmavl01,23:07,3,3,1.000,1,1,1.000,0,0,,1,3,4,2,2,1,0,3,7,+8
Team Totals,240,33,82,.402,8,20,.400,13,14,.929,9,28,37,19,10,6,11,12,87,
